Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;110.32;110.32;110.32;110.32;110.32;102.04;99.97;99.28;73.77;64.12;54.47;44.82;31.03;17.24;11.03;6.89;;;;;;;;
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;137.9;137.9;137.9;137.9;130.31;119.28;117.21;113.76;89.63;74.46;59.98;44.82;31.03;17.24;11.03;6.89;;;;;;;;
3;SMLS-ASTM A106 Gr.B;B31.3-2004;1;1;137.9;137.9;137.9;137.9;130.31;119.28;117.21;113.76;89.63;74.46;59.98;44.82;31.03;17.24;11.03;6.89;;;;;;;;
4;SMLS-ASTM B622 Gr.C-276 (N10276) Sol.ann.;B31.3-2004;2;4;188.23;188.23;188.23;188.23;185.47;175.13;170.3;165.47;162.03;158.58;155.82;153.75;152.37;150.31;127.55;103.42;84.12;67.57;53.78;;;;;
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;126.17;126.17;122.04;118.59;111.7;102.04;99.97;99.28;82.74;70.33;57.23;44.82;31.03;17.24;11.03;6.89;;;;;;;;
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;137.9;137.9;137.9;137.9;130.31;119.28;117.21;113.76;89.63;74.46;59.98;44.82;31.03;17.24;11.03;6.89;;;;;;;;
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;137.9;137.9;137.9;137.9;130.31;119.28;117.21;113.76;89.63;74.46;59.98;44.82;31.03;17.24;11.03;6.89;;;;;;;;
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2;137.9;137.9;137.9;137.9;;;;;;;;;;;;;;;;;;;;
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2;144.79;144.79;144.79;144.79;;;;;;;;;;;;;;;;;;;;
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2;151.68;151.68;151.68;151.68;;;;;;;;;;;;;;;;;;;;
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1;128.52;110.32;109.21;107.01;106.46;106.46;105.9;105.9;105.9;105.35;;;;;;;;;;;;;;
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1;117.21;117.21;117.21;117.21;110.76;101.39;99.63;96.7;76.19;63.29;50.99;38.09;26.37;14.65;9.38;5.86;;;;;;;;
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4;128.93;113.07;106.18;102.04;102.04;102.04;102.04;102.04;100.66;97.91;75.84;55.16;;;;;;;;;;;;
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1;107.25;107.25;103.73;100.8;94.94;86.74;84.98;84.39;70.33;59.78;48.64;38.09;26.37;14.65;9.38;5.86;;;;;;;;
