Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;100;16000
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;200;16000
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;300;16000
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;400;16000
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;500;16000
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;600;14800
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;650;14500
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;700;14400
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;750;10700
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;800;9300
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;850;7900
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;900;6500
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;950;4500
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;1000;2500
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;1050;1600
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1;1100;1000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;100;20000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;200;20000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;300;20000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;400;20000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;500;18900
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;600;17300
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;650;17000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;700;16500
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;750;13000
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;800;10800
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;850;8700
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1;900;6500
