Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol
1;SMLS-ASTM A53  Gr.A  Type S;B31.3-2004;1;1
2;SMLS-ASTM A53  Gr.B  Type S;B31.3-2004;1;1
3;SMLS-ASTM A106 Gr.B;B31.3-2004;1;1
4;SMLS-ASTM B622 Gr.C-276 (N10276) Sol.ann.;B31.3-2004;2;4
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2
9;SMLS-API 5L  Gr.X46;B31.3-2002;1;2
10;SMLS-API 5L  Gr.X52 - T.S. 66 ksi;B31.3-2002;1;2
11;;;0;0
12;EFW-ASTM B464 Gr.20Cb (N08020) Ann.(E=0.8);B31.3-2002;2;1
13;ERW -ASTM A53  Gr.B  Type E (E=0.85);B31.3-2002;1;1
14;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(< 5"" O.D.)";B31.3-2002;2;4
15;ERW -ASTM A333 Gr.1 (E=0.85);B31.3-2002;1;1
16;ERW -ASTM A333 Gr.6 (E=0.85);B31.3-2002;1;1
17;ERW -API 5L  Gr.B   (E=0.85);B31.3-2002;1;1
18;ERW -API 5L  Gr.X42 (E=0.85);B31.3-2002;1;3
19;ERW -API 5L  Gr.X46 (E=0.85);B31.3-2002;1;3
20;ERW -API 5L  Gr.X52 (E=0.85)- T.S. 66 ksi;B31.3-2002;1;3
21;;;1;1
22;EFW -ASTM A671 Gr.CC60 Cl.22 (E=1);B31.3-2002;1;5
23;EFW -ASTM A671 Gr.CC60 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5
28;EFW -ASTM A672 Gr.B55 Cl.22 (E=1);B31.3-2002;1;5
29;EFW -ASTM A672 Gr.B60 Cl.22 (E=1);B31.3-2002;1;5
30;EFW -ASTM A672 Gr.C55 Cl.22 (E=1);B31.3-2002;1;5
31;EFW -ASTM A672 Gr.C70 Cl.22 (E=1);B31.3-2002;1;5
32;EFW -ASTM A672 Gr.A50 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5
33;EFW -ASTM A672 Gr.A55 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5
34;EFW -ASTM A672 Gr.B55 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5
35;EFW -ASTM A672 Gr.B60 Cl.12+TB 5451 (E=0.9);B31.3-2002;1;5
36;EFW -ASTM A672 Gr.C55 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5
37;EFW -ASTM A672 Gr.A50 Cl.13 (E=0.85);B31.3-2002;1;5
