id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
1;100;285;740;990;1480;2220;3705;6170;11110
1;200;260;675;900;1350;2025;3375;5625;10120
1;300;230;655;875;1315;1970;3280;5470;9845
1;400;200;635;845;1270;1900;3170;5280;9505
1;500;170;600;800;1200;1795;2995;4990;8980
1;600;140;550;730;1095;1640;2735;4560;8210
1;650;125;535;715;1075;1610;2685;4475;8055
1;700;110;535;710;1065;1600;2665;4440;7990
1;750;95;505;670;1010;1510;2520;4200;7560
1;800;80;410;550;825;1235;2060;3430;6170
1;850;65;270;355;535;805;1340;2230;4010
1;900;50;170;230;345;515;860;1430;2570
1;950;35;105;140;205;310;515;860;1545
1;1000;20;50;70;105;155;260;430;770
2;100;290;750;1000;1500;2250;3750;6250;11250
2;200;290;750;1000;1500;2250;3750;6250;11250
2;300;290;750;1000;1500;2250;3750;6250;11250
2;400;290;750;1000;1500;2250;3750;6250;11250
2;500;290;750;1000;1500;2250;3750;6250;11250
2;600;275;715;950;1425;2140;3565;5940;10690
2;650;270;700;935;1400;2100;3495;5825;10485
2;700;265;695;925;1390;2080;3470;5780;10405
2;750;240;630;840;1260;1890;3150;5250;9450
2;800;200;515;685;1030;1545;2570;4285;7715
2;850;130;335;445;670;1005;1670;2785;5015
2;900;85;215;285;430;645;1070;1785;3215
2;950;50;130;170;260;385;645;1070;1930
2;1000;25;65;85;130;195;320;535;965
3;100;290;750;1000;1500;2250;3750;6250;11250
3;200;260;750;1000;1500;2250;3750;6250;11250
3;300;230;730;970;1455;2185;3640;6070;10925
3;400;200;705;940;1410;2115;3530;5880;10585
3;500;170;665;885;1330;1995;3325;5540;9965
3;600;140;605;805;1210;1815;3025;5040;9070
3;650;125;590;785;1175;1765;2940;4905;8825
3;700;110;570;755;1135;1705;2840;4730;8515
3;750;95;505;670;1010;1510;2520;4200;7560
3;800;80;410;550;825;1235;2060;3430;6170
3;850;65;270;355;535;805;1340;2230;4010
3;900;50;170;230;345;515;860;1430;2570
3;950;35;105;140;205;310;515;860;1545
3;1000;20;50;70;105;155;260;430;770
4;100;290;750;1000;1500;2250;3750;6250;11250
4;200;290;750;1000;1500;2250;3750;6250;11250
4;300;290;750;1000;1500;2250;3750;6250;11250
4;400;290;750;1000;1500;2250;3750;6250;11250
4;500;290;750;1000;1500;2250;3750;6250;11250
4;600;290;750;1000;1500;2250;3750;6250;11250
4;650;290;750;1000;1500;2250;3750;6250;11250
4;700;275;710;950;1425;2135;3560;5930;10670
4;750;240;630;840;1260;1890;3150;5250;9450
4;800;200;515;685;1030;1545;2570;4285;7715
4;850;130;335;445;670;1005;1670;2785;5015
4;900;85;215;285;430;645;1070;1785;3215
4;950;50;130;170;260;385;645;1070;1930
4;1000;25;65;85;130;195;320;535;965
5;100;265;695;925;1390;2085;3470;5785;10415
5;200;250;655;875;1315;1970;3280;5470;9845
5;300;230;640;850;1275;1915;3190;5315;9565
5;400;200;620;825;1235;1850;3085;5145;9260
5;500;170;585;775;1165;1745;2910;4850;8735
5;600;140;535;710;1065;1600;2665;4440;7990
5;650;125;525;695;1045;1570;2615;4355;7840
5;700;110;520;690;1035;1555;2590;4320;7775
5;750;95;475;630;945;1420;2365;3945;7100
5;800;80;390;520;780;1175;1955;3260;5865
5;850;65;270;355;535;805;1340;2230;4010
5;900;50;170;230;345;515;860;1430;2570
5;950;35;105;140;205;310;515;860;1545
5;1000;20;50;70;105;155;260;430;770
6;100;265;695;925;1390;2085;3470;5785;10415
6;200;265;695;925;1390;2085;3470;5785;10415
6;300;265;695;925;1390;2085;3470;5785;10415
6;400;265;695;925;1390;2085;3470;5785;10415
6;500;265;695;925;1390;2085;3470;5785;10415
6;600;265;695;925;1390;2080;3470;5780;10405
6;650;260;680;910;1360;2040;3400;5670;10205
6;700;255;665;885;1330;1995;3320;5535;9965
6;750;225;590;790;1185;1775;2960;4930;8870
6;800;190;490;650;980;1465;2445;4070;7330
6;850;130;335;445;670;1005;1670;2785;5015
6;900;85;215;285;430;645;1070;1785;3215
6;950;50;130;170;260;385;645;1070;1930
6;1000;25;65;85;130;195;320;535;965
7;100;235;620;825;1235;1850;3085;5145;9260
7;200;215;560;750;1125;1685;2810;4680;8425
7;300;210;550;730;1095;1640;2735;4560;8210
7;400;200;530;705;1060;1585;2645;4405;7930
7;500;170;500;665;995;1495;2490;4150;7470
7;600;140;455;610;915;1370;2285;3805;6850
7;650;125;450;600;895;1345;2245;3740;6725
7;700;110;450;600;895;1345;2245;3740;6725
7;750;95;445;590;885;1325;2210;3685;6635
7;800;80;370;495;740;1110;1850;3085;5555
7;850;65;270;355;535;805;1340;2230;4010
7;900;50;170;230;345;515;860;1430;2570
7;950;35;105;140;205;310;515;860;1545
7;1000;20;50;70;105;155;260;430;770
8;100;245;645;860;1285;1930;3215;5360;9645
8;200;245;645;860;1285;1930;3215;5360;9645
8;300;245;645;860;1285;1930;3215;5360;9645
8;400;245;645;860;1285;1930;3215;5360;9645
8;500;245;645;860;1285;1930;3215;5360;9645
8;600;230;595;795;1190;1785;2975;4955;8920
8;650;225;585;780;1170;1750;2920;4865;8760
8;700;220;580;770;1160;1735;2895;4820;8680
8;750;210;555;740;1105;1660;2765;4610;8295
8;800;180;465;620;925;1390;2315;3860;6945
8;850;130;335;445;670;1005;1670;2785;5015
8;900;85;215;285;430;645;1070;1785;3215
8;950;50;130;170;260;385;645;1070;1930
8;1000;25;65;85;130;195;320;535;965
9;100;265;695;925;1390;2085;3470;5785;10415
9;200;260;680;905;1360;2035;3395;5660;10185
9;300;230;655;870;1305;1955;3260;5435;9780
9;400;200;640;855;1280;1920;3200;5330;9595
9;500;170;620;830;1245;1865;3105;5180;9320
9;600;140;605;805;1210;1815;3025;5040;9070
9;650;125;590;785;1175;1765;2940;4905;8825
9;700;110;570;755;1135;1705;2840;4730;8515
9;750;95;530;710;1065;1595;2660;4430;7970
9;800;80;510;675;1015;1525;2540;4230;7610
9;850;65;485;650;975;1460;2435;4060;7305
9;900;50;450;600;900;1350;2245;3745;6740
9;950;35;280;375;560;845;1405;2345;4215
9;1000;20;165;220;330;495;825;1370;2470
10;100;265;695;925;1390;2085;3470;5785;10415
10;200;265;695;925;1390;2085;3470;5785;10415
10;300;265;695;925;1390;2085;3470;5785;10415
10;400;265;695;925;1390;2085;3470;5785;10415
10;500;265;695;925;1390;2085;3470;5785;10415
10;600;265;695;925;1390;2085;3470;5785;10415
10;650;265;695;925;1390;2085;3470;5785;10415
10;700;265;695;925;1390;2085;3470;5785;10415
10;750;265;695;925;1390;2085;3470;5785;10415
10;800;265;695;925;1390;2085;3470;5785;10415
10;850;260;680;905;1355;2030;3335;5645;10160
10;900;225;590;785;1175;1760;2935;4895;8810
10;950;135;350;470;705;1055;1755;2930;5270
10;1000;80;205;275;410;615;1030;1715;3085
11;100;225;590;790;1185;1775;2955;4930;8870
11;200;225;590;790;1185;1775;2955;4930;8870
11;300;225;590;790;1185;1775;2955;4930;8870
11;400;200;570;765;1145;1715;2860;4765;8580
11;500;170;550;735;1105;1655;2755;4595;8270
11;600;140;535;710;1065;1600;2665;4440;7990
11;650;125;525;695;1045;1570;2615;4355;7840
11;700;110;510;685;1025;1535;2560;4270;7685
11;750;95;475;630;945;1420;2365;3945;7095
11;800;80;475;630;945;1420;2365;3945;7095
11;850;65;460;615;920;1380;2295;3830;6890
11;900;50;440;590;885;1325;2210;3685;6635
11;950;35;315;420;630;945;1575;2630;4730
11;1000;20;200;270;405;605;1010;1685;3035
11;1050;20;155;205;310;465;770;1285;2315
11;1100;20;95;130;190;290;480;800;1440
11;1150;20;60;80;125;185;310;515;925
11;1200;15;40;50;75;115;190;315;565
12;100;225;590;790;1185;1775;2955;4930;8870
12;200;225;590;790;1185;1775;2955;4930;8870
12;300;225;590;790;1185;1775;2955;4930;8870
12;400;225;590;790;1185;1775;2955;4930;8870
12;500;225;590;790;1185;1775;2955;4930;8870
12;600;225;590;790;1185;1775;2955;4930;8870
12;650;225;590;790;1185;1775;2955;4930;8870
12;700;225;590;790;1185;1775;2955;4930;8870
12;750;225;590;790;1185;1775;2955;4930;8870
12;800;225;590;790;1185;1775;2955;4930;8870
12;850;220;575;765;1150;1725;2870;4785;8615
12;900;210;555;735;1105;1660;2765;4605;8295
12;950;150;395;525;790;1185;1970;3285;5915
12;1000;95;255;335;505;760;1265;2105;3795
12;1050;75;195;255;385;580;965;1605;2895
12;1100;45;120;160;240;360;600;1000;1800
12;1150;30;75;105;155;230;385;645;1155
12;1200;20;45;65;95;140;235;395;705
13;100;290;750;1000;1500;2250;3750;6250;11250
13;200;260;750;1000;1500;2250;3750;6250;11250
13;300;230;720;965;1445;2165;3610;6015;10830
13;400;200;695;925;1385;2080;3465;5775;10400
13;500;170;665;885;1330;1995;3325;5540;9965
13;600;140;605;805;1210;1815;3025;5040;9070
13;650;125;590;785;1175;1765;2940;4905;8825
13;700;110;570;755;1135;1705;2840;4730;8515
13;750;95;530;710;1065;1595;2660;4430;7970
13;800;80;510;675;1015;1525;2540;4230;7610
13;850;65;485;650;975;1460;2435;4060;7305
13;900;50;450;600;900;1350;2245;3745;6740
13;950;35;315;420;630;945;1575;2630;4730
13;1000;20;200;270;405;605;1010;1685;3035
13;1050;0;160;210;315;475;790;1315;2365
14;100;290;750;1000;1500;2250;3750;6250;11250
14;200;290;750;1000;1500;2250;3750;6250;11250
14;300;290;750;1000;1500;2250;3750;6250;11250
14;400;290;750;1000;1500;2250;3750;6250;11250
14;500;290;750;1000;1500;2250;3750;6250;11250
14;600;290;750;1000;1500;2250;3750;6250;11250
14;650;290;750;1000;1500;2250;3750;6250;11250
14;700;280;735;980;1465;2200;3665;6110;10995
14;750;280;730;970;1460;2185;3645;6070;10930
14;800;275;720;960;1440;2160;3600;6000;10800
14;850;260;680;905;1355;2030;3385;5645;10160
14;900;230;600;800;1200;1800;3000;5000;9000
14;950;150;395;525;790;1185;1970;3285;5915
14;1000;95;255;335;505;760;1265;2105;3795
14;1050;75;195;265;395;590;985;1645;2955
15;100;235;620;825;1235;1860;3085;5145;9260
15;200;220;570;765;1145;1715;2860;4765;8580
15;300;215;555;745;1115;1670;2785;4645;8360
15;400;200;555;740;1105;1660;2765;4610;8300
15;500;170;555;740;1105;1660;2765;4610;8300
15;600;140;555;740;1105;1660;2765;4610;8300
15;650;125;555;740;1105;1660;2765;4610;8300
15;700;110;545;725;1085;1630;2715;4525;8145
15;750;95;515;685;1030;1545;2570;4285;7715
15;800;80;510;675;1015;1525;2540;4230;7610
15;850;65;485;650;975;1460;2435;4060;7305
15;900;50;450;600;900;1350;2245;3745;6740
15;950;35;320;425;640;955;1595;2655;4785
15;1000;20;215;290;430;650;1080;1800;3240
15;1050;20;145;190;290;430;720;1200;2160
15;1100;20;95;130;190;290;480;800;1440
15;1150;20;60;80;125;185;310;515;925
15;1200;15;40;50;75;115;190;315;565
16;100;245;645;860;1285;1930;3215;5360;9645
16;200;245;645;860;1285;1930;3215;5360;9645
16;300;245;645;860;1285;1930;3215;5360;9645
16;400;245;645;860;1285;1930;3215;5360;9645
16;500;245;645;860;1285;1930;3215;5360;9645
16;600;245;645;860;1285;1930;3215;5360;9645
16;650;245;645;860;1285;1930;3215;5360;9645
16;700;245;645;860;1285;1930;3215;5360;9645
16;750;245;645;860;1285;1930;3215;5360;9645
16;800;245;645;860;1285;1930;3215;5360;9645
16;850;235;615;825;1235;1850;3085;5145;9255
