id;cmp_material
1;1.1A :ASME B16.34 & B16.5 (A105-A350LF2-A216WCB)
2;1.1B :ASME B16.34 SPC. only BW (A105-A350LF2-A216WCB)
3;1.2A :ASME B16.34 & B16.5 (350LF3-216WCC-352LCC/LC2/LC3)
4;1.2B :ASMEB16.34 SPC. only BW (350LF3-216WCC-352LCC/LC2/LC3)
5;1.3A :ASME B16.34 & B16.5 (A352LCB)
6;1.3B :ASME B16.34 SPC. only BW (A352LCB)
7;1.4A :ASME B16.34 & B16.5 (A350LF1)
8;1.4B :ASME B16.34 SPC. only BW (A350LF1)
9;1.5A :ASME B16.34 & B16.5 (A182F1-A217WC1-A352LC1)
10;1.5B :ASME B16.34 SPC. only BW (A182F1-A217WC1-A352LC1)
11;1.6A :ASME B16.34 STD. only BW (Plates-Tubular Products)
12;1.6B :ASME B16.34 SPC. only BW (Plates-Tubular Products)
13;1.7A :ASME B16.34  & B16.5 (A182F2-A217WC4-A217WC5)
14;1.7B :ASME B16.34 SPC. only BW (A182F2-A217WC4-A217WC5)
15;1.8A :ASME B16.34 STD. only BW (Plates-Tubular Products)
16;1.8B :ASME B16.34 SPC. only BW (Plates-Tubular Products)
17;1.9A :ASME B16.34 & B16.5 (A182F11/F12 CL.2-A217WC6)
18;1.9B :ASME B16.34 SPC. only BW (A182F11/F12 CL.2-A217WC6)
19;1.10A:ASME B16.34 & B16.5 (A182F22 CL.3-A217WC9)
20;1.10B:ASME B16.34 SPC. only BW (A182F22 CL.3 - A217WC9)
21;1.11A:ASME B16.34 SPC. only BW (Plates)
22;1.11B:ASME B16.34 SPC. only BW-96 (Plates)
23;1.12A:ASME B16.34 SPC. only BW (Plates-Tubular Products)
24;1.12B:ASME B16.34 SPC. only BW (Plates-Tubular Products)
25;1.13A:ASME B16.34 & B16.5 (A182F5a-A182F5-A217C5)
26;1.13B:ASME B16.34 SPC. only BW (A182F5a-A182F5-A217C5)
27;1.14A:ASME B16.34 STD. & B16.5 (A182F9-A217C12)
28;1.14B:ASME B16.34 SPC. only BW (A182F9-A217C12)
29;2.1A :ASME B16.34 & B16.5 (A182F304/F304H-A351CF3/CF8)
30;2.1B :ASME B16.34 SPC. only BW (A182F304/F304H-A351CF3/CF8)
31;2.2A :ASME B16.34 &B16.5 (A182F316/F316H-A351CF3M/CF8M)
32;2.2B :ASME B16.34 SPC. onlyBW (A182F316/F316H-A351CF3M/CF8M)
33;2.3A :ASME B16.34 & B16.5 (A182F304L-A182F316L)
34;2.3B :ASME B16.34 SPC. only BW (A182F304L-A182F316L)
35;2.4A :ASME B16.34 & B16.5 (A182F321-A182F321H)
36;2.4B :ASME B16.34 SPC. only BW (A182F321-A182F321H)
37;2.5A :ASMEB16.34 & B16.5 (182F347/347H/348/348H-351CF8C)
38;2.5B :ASME B16.34 SPC. only BW (182F347/347H/348/348H-351CF8C)
39;2.6A :ASME B16.34 & B16.5 (A351CH8 - A351CH20)
40;2.6B :ASME B16.34 SPC. only BW (A351CH80-A351CH20)
