Code_Y;TempF;TempC;Yvalue
1;100;37,8;0,4
1;200;93,3;0,4
1;300;148,9;0,4
1;400;204,4;0,4
1;500;260,0;0,4
1;600;315,6;0,4
1;650;343,3;0,4
1;700;371,1;0,4
1;750;398,9;0,4
1;800;426,7;0,4
1;850;454,4;0,4
1;900;482,2;0,4
1;950;510,0;0,5
1;1000;537,8;0,7
1;1050;565,6;0,7
1;1100;593,3;0,7
1;1150;621,1;0,7
1;1200;648,9;0,7
1;1250;676,7;0,7
1;1300;704,4;0,7
1;1350;732,2;0,7
1;1400;760,0;0,7
1;1450;787,8;0,7
1;1500;815,6;0,7
2;100;37,8;0,4
2;200;93,3;0,4
2;300;148,9;0,4
2;400;204,4;0,4
2;500;260,0;0,4
2;600;315,6;0,4
2;650;343,3;0,4
2;700;371,1;0,4
2;750;398,9;0,4
2;800;426,7;0,4
2;850;454,4;0,4
2;900;482,2;0,4
2;950;510,0;0,4
2;1000;537,8;0,4
2;1050;565,6;0,4
2;1100;593,3;0,5
2;1150;621,1;0,7
2;1200;648,9;0,7
2;1250;676,7;0,7
2;1300;704,4;0,7
2;1350;732,2;0,7
2;1400;760,0;0,7
2;1450;787,8;0,7
2;1500;815,6;0,7
3;100;37,8;0,4
3;200;93,3;0,4
3;300;148,9;0,4
3;400;204,4;0,4
3;500;260,0;0,4
3;600;315,6;0,4
3;650;343,3;0,4
3;700;371,1;0,4
3;750;398,9;0,4
3;800;426,7;0,4
3;850;454,4;0,4
3;900;482,2;0,4
3;950;510,0;0,4
3;1000;537,8;0,4
3;1050;565,6;0,4
3;1100;593,3;0,4
3;1150;621,1;0,4
3;1200;648,9;0,5
3;1250;676,7;0,7
3;1300;704,4;0,7
3;1350;732,2;0,7
3;1400;760,0;0,7
3;1450;787,8;0,7
3;1500;815,6;0,7
4;100;37,8;0
4;200;93,3;0
4;300;148,9;0
4;400;204,4;0
4;500;260,0;0
4;600;315,6;0
4;650;343,3;0
4;700;371,1;0
4;750;398,9;0
4;800;426,7;0
4;850;454,4;0
4;900;482,2;0
4;950;510,0;0
4;1000;537,8;0
4;1050;565,6;0
4;1100;593,3;0
4;1150;621,1;0
4;1200;648,9;0
4;1250;676,7;0
4;1300;704,4;0
4;1350;732,2;0
4;1400;760,0;0
4;1450;787,8;0
4;1500;815,6;0
5;100;37,8;0,4
5;200;93,3;0,4
5;300;148,9;0,4
5;400;204,4;0,4
5;500;260,0;0,4
5;600;315,6;0,4
5;650;343,3;0,4
5;700;371,1;0,4
5;750;398,9;0,4
5;800;426,7;0,4
5;850;454,4;0,4
5;900;482,2;0,4
5;950;510,0;0,4
5;1000;537,8;0,4
5;1050;565,6;0,4
5;1100;593,3;0,4
5;1150;621,1;0,4
5;1200;648,9;0,4
5;1250;676,7;0,4
5;1300;704,4;0,4
5;1350;732,2;0,4
5;1400;760,0;0,4
5;1450;787,8;0,4
5;1500;815,6;0,4
