Group,Material,NPS,OD,TOL,thkC,thkCReq,thkCom,MAWP
G_1,SMLS-ASTM A53  Gr.A  Type S,1 1/4,42.16,12.5,0.15,3.03,3.56,29.07
G_1,SMLS-ASTM A53  Gr.A  Type S,1 1/2,48.26,12.5,0.17,3.05,3.68,29.74
G_1,SMLS-ASTM A53  Gr.A  Type S,2,60.32,12.5,0.21,3.1,3.91,30.44
G_1,SMLS-ASTM A53  Gr.A  Type S,2 1/2,73.02,12.5,0.26,3.15,3.18,7.69
G_1,SMLS-ASTM A53  Gr.A  Type S,3,88.9,12.5,0.31,3.21,3.58,14.15
G_1,SMLS-ASTM A53  Gr.A  Type S,3 1/2,101.6,12.5,0.36,3.27,3.58,12.38
G_1,SMLS-ASTM A53  Gr.A  Type S,4,114.3,12.5,0.4,3.32,3.58,11.0
G_1,SMLS-ASTM A53  Gr.A  Type S,5,141.3,12.5,0.5,3.42,3.96,13.58
G_1,SMLS-ASTM A53  Gr.A  Type S,6,168.27,12.5,0.59,3.53,3.58,7.47
G_1,SMLS-ASTM A53  Gr.A  Type S,8,219.07,12.5,0.77,3.74,4.78,15.28
G_1,SMLS-ASTM A53  Gr.A  Type S,10,273.05,12.5,0.96,3.95,3.96,7.02
G_1,SMLS-ASTM A53  Gr.A  Type S,12,323.85,12.5,1.14,4.16,4.37,8.13
G_1,SMLS-ASTM A53  Gr.A  Type S,14,355.6,12.5,1.25,4.29,4.78,9.41
G_1,SMLS-ASTM A53  Gr.A  Type S,16,406.4,12.5,1.43,4.49,4.76,8.14
G_1,SMLS-ASTM A53  Gr.A  Type S,18,457.2,12.5,1.61,4.69,4.78,7.31
G_1,SMLS-ASTM A53  Gr.A  Type S,20,508.0,12.5,1.79,4.9,5.56,9.26
G_1,SMLS-ASTM A53  Gr.A  Type S,22,558.8,12.5,1.96,5.1,5.56,8.41
G_1,SMLS-ASTM A53  Gr.A  Type S,24,609.6,12.5,2.14,5.31,6.35,9.97
G_1,SMLS-ASTM A53  Gr.A  Type S,26,660.4,12.5,2.32,5.51,6.35,9.2
G_1,SMLS-ASTM A53  Gr.A  Type S,28,711.2,12.5,2.5,5.71,6.35,8.54
G_1,SMLS-ASTM A53  Gr.A  Type S,30,762.0,12.5,2.68,5.92,6.35,7.97
G_1,SMLS-ASTM A53  Gr.A  Type S,32,812.8,12.5,2.86,6.12,6.35,7.47
G_1,SMLS-ASTM A53  Gr.A  Type S,34,863.6,12.5,3.04,6.33,6.35,7.03
G_1,SMLS-ASTM A53  Gr.A  Type S,36,914.4,12.5,3.21,6.53,7.14,8.15
G_2,SMLS-API 5L  Gr.B,2 1/2,73.02,12.5,0.15,2.46,2.77,14.22
G_2,SMLS-API 5L  Gr.B,3,88.9,12.5,0.18,2.49,2.77,11.68
G_2,SMLS-API 5L  Gr.B,3 1/2,101.6,12.5,0.21,2.52,2.77,10.22
G_2,SMLS-API 5L  Gr.B,4,114.3,12.5,0.23,2.55,2.77,9.08
G_2,SMLS-API 5L  Gr.B,5,141.3,12.5,0.29,2.62,3.18,13.57
G_2,SMLS-API 5L  Gr.B,6,168.27,12.5,0.34,2.68,3.18,11.39
G_2,SMLS-API 5L  Gr.B,8,219.07,12.5,0.45,2.8,4.78,24.44
G_2,SMLS-API 5L  Gr.B,10,273.05,12.5,0.56,2.92,3.96,13.15
G_2,SMLS-API 5L  Gr.B,12,323.85,12.5,0.66,3.04,4.37,13.8
G_2,SMLS-API 5L  Gr.B,14,355.6,12.5,0.73,3.11,4.78,15.04
G_2,SMLS-API 5L  Gr.B,16,406.4,12.5,0.83,3.23,4.76,13.06
G_2,SMLS-API 5L  Gr.B,18,457.2,12.5,0.93,3.35,4.78,11.7
G_2,SMLS-API 5L  Gr.B,20,508.0,12.5,1.04,3.47,5.56,13.82
G_2,SMLS-API 5L  Gr.B,22,558.8,12.5,1.14,3.59,5.56,12.56
G_2,SMLS-API 5L  Gr.B,24,609.6,12.5,1.24,3.71,6.35,14.3
G_2,SMLS-API 5L  Gr.B,26,660.4,12.5,1.35,3.83,6.35,13.2
