TempF,TempC,Cmp_G_1,Cmp_G_2,Pipe_G_1,Pipe_G_2,Pipe_G_3,Rating,Gr
100,37.78,19.99,44.47,7.02,10.23,12.73,7.02,Pipe_G_1
122,50.0,19.99,44.47,7.02,10.23,12.73,7.02,Pipe_G_1
200,93.33,19.99,44.47,7.02,10.23,12.73,7.02,Pipe_G_1
212,100.0,19.99,44.47,7.02,10.23,12.68,7.02,Pipe_G_1
300,148.89,19.99,44.47,7.02,10.23,12.31,7.02,Pipe_G_1
311,155.0,19.99,44.47,7.02,10.23,12.28,7.02,Pipe_G_1
392,200.0,19.99,44.47,7.02,10.23,11.99,7.02,Pipe_G_1
400,204.44,19.99,44.47,7.02,10.23,11.97,7.02,Pipe_G_1
482,250.0,19.99,44.47,7.02,9.77,11.4,7.02,Pipe_G_1
500,260.0,19.99,44.47,7.02,9.67,11.27,7.02,Pipe_G_1
572,300.0,19.25,41.99,6.64,9.08,10.57,6.64,Pipe_G_1
600,315.56,18.96,41.02,6.5,8.85,10.3,6.5,Pipe_G_1
650,343.33,18.62,40.33,6.37,8.7,10.09,6.37,Pipe_G_1
662,350.0,18.53,40.25,6.35,8.64,10.07,6.35,Pipe_G_1
700,371.11,18.27,39.99,6.32,8.44,10.02,6.32,Pipe_G_1
750,398.89,16.55,38.27,4.7,6.65,8.35,4.7,Pipe_G_1
752,400.0,16.44,38.02,4.67,6.61,8.3,4.67,Pipe_G_1
800,426.67,13.79,32.06,4.08,5.53,7.1,4.08,Pipe_G_1
842,450.0,9.74,24.53,3.57,4.62,5.99,3.57,Pipe_G_1
850,454.44,8.96,23.1,3.47,4.45,5.77,3.47,Pipe_G_1
900,482.22,5.86,14.82,2.85,3.33,4.52,2.85,Pipe_G_1
932,500.0,4.32,11.07,2.29,2.67,3.63,2.29,Pipe_G_1
950,510.0,3.45,8.96,1.98,2.3,3.13,1.98,Pipe_G_1
1000,537.78,1.72,4.48,1.1,1.28,1.74,1.1,Pipe_G_1
1050,565.56,,,0.7,0.82,1.11,0.7,Pipe_G_1
1100,593.33,,,0.44,0.51,0.7,0.44,Pipe_G_1
1150,621.11,,,,,,,
1200,648.89,,,,,,,
1250,676.67,,,,,,,
1300,704.44,,,,,,,
1350,732.22,,,,,,,
1400,760.0,,,,,,,
1450,787.78,,,,,,,
1500,815.56,,,,,,,
